"","plot","subplot","species","climate","management","size_t0","size_t1","fl_spring_before","fl_spring_after","fl_fall","sl_spring_t0","sl_fall_t0","sl_spring_t1","transition","survival","fl_all","new_individual","year","kicker_col","treatment","spec_treat","ind_t0","flower_pr"
"1557","4_5",6,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_6","future_grazing","Bro_ere_future_grazing",NA,0
"1575","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1576","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1577","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1578","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1579","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1580","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1581","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1582","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1583","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1584","4_5",7,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_7","future_grazing","Bro_ere_future_grazing",NA,0
"1600","4_5",8,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_8","future_grazing","Bro_ere_future_grazing",NA,0
"1601","4_5",8,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_8","future_grazing","Bro_ere_future_grazing",NA,0
"1602","4_5",8,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_8","future_grazing","Bro_ere_future_grazing",NA,0
"1603","4_5",8,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_8","future_grazing","Bro_ere_future_grazing",NA,0
"1604","4_5",8,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_8","future_grazing","Bro_ere_future_grazing",NA,0
"1605","4_5",8,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_8","future_grazing","Bro_ere_future_grazing",NA,0
"1606","4_5",8,"Bro_ere","future","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"4_5_8","future_grazing","Bro_ere_future_grazing",NA,0
"1621","5_4",1,"Bro_ere","ambient","grazing",42,63,3,0,NA,0,0,1,1,1,0,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1622","5_4",1,"Bro_ere","ambient","grazing",9,48,2,0,NA,0,0,1,1,1,0,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1623","5_4",1,"Bro_ere","ambient","grazing",2,20,1,0,NA,0,0,1,1,1,0,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1624","5_4",1,"Bro_ere","ambient","grazing",2,12,3,1,NA,0,0,1,1,1,1,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",1,1
"1625","5_4",1,"Bro_ere","ambient","grazing",1,3,1,1,NA,0,0,1,1,1,1,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",1,1
"1626","5_4",1,"Bro_ere","ambient","grazing",6,NA,2,0,NA,0,0,1,1,0,0,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1627","5_4",1,"Bro_ere","ambient","grazing",0.25,NA,1,0,NA,0,0,1,1,0,0,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1628","5_4",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1629","5_4",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1646","5_4",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1647","5_4",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1648","5_4",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1649","5_4",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1650","5_4",2,"Bro_ere","ambient","grazing",35,100,4,0,NA,0,1,2,1,1,0,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1651","5_4",2,"Bro_ere","ambient","grazing",30,NA,0,0,NA,0,1,2,1,0,0,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1652","5_4",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1653","5_4",2,"Bro_ere","ambient","grazing",9,9,4,4,NA,0,1,2,1,1,4,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",1,1
"1654","5_4",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1665","5_4",3,"Bro_ere","ambient","grazing",20,25,2,0,NA,0,2,14,1,1,0,0,2018,"5_4_3","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1666","5_4",3,"Bro_ere","ambient","grazing",0.25,NA,1,0,NA,0,2,14,1,0,0,0,2018,"5_4_3","ambient_grazing","Bro_ere_ambient_grazing",1,0
"1667","5_4",3,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1668","5_4",3,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1669","5_4",3,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1670","5_4",3,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1671","5_4",3,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1679","5_4",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1680","5_4",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1681","5_4",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1682","5_4",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1683","5_4",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1684","5_4",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1685","5_4",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1686","5_4",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1707","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1708","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1709","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1710","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1711","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1712","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1713","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1714","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1715","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1716","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1717","5_4",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1722","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1723","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1724","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1725","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1726","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1727","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1728","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1729","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1730","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1731","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1732","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1733","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1734","5_4",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1746","5_4",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1747","5_4",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1750","5_4",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1751","5_4",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1752","5_4",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1753","5_4",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1754","5_4",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1755","5_4",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1756","5_4",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_4_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"1771","5_5",1,"Bro_ere","ambient","mowing",4,2,1,1,NA,0,2,15,1,1,1,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1772","5_5",1,"Bro_ere","ambient","mowing",1.5,24,0,0,NA,0,2,15,1,1,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",1,0
"1773","5_5",1,"Bro_ere","ambient","mowing",1,1.5,0,0,NA,0,2,15,1,1,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",1,0
"1774","5_5",1,"Bro_ere","ambient","mowing",NA,0.5,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1775","5_5",1,"Bro_ere","ambient","mowing",NA,0.75,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1776","5_5",1,"Bro_ere","ambient","mowing",NA,0.5,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1777","5_5",1,"Bro_ere","ambient","mowing",NA,5,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1778","5_5",1,"Bro_ere","ambient","mowing",NA,0.5,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1779","5_5",1,"Bro_ere","ambient","mowing",NA,1,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1780","5_5",1,"Bro_ere","ambient","mowing",NA,0.5,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1781","5_5",1,"Bro_ere","ambient","mowing",NA,0.5,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1782","5_5",1,"Bro_ere","ambient","mowing",NA,1.5,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1783","5_5",1,"Bro_ere","ambient","mowing",NA,6,NA,NA,NA,0,2,15,1,0,0,1,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1784","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1785","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1786","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1787","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1788","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1789","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1790","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1791","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1792","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1793","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1794","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1795","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1796","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1797","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1798","5_5",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1825","5_5",2,"Bro_ere","ambient","mowing",70,9,0,0,NA,0,3,10,1,1,0,0,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",1,0
"1826","5_5",2,"Bro_ere","ambient","mowing",6,2,0,0,NA,0,3,10,1,1,0,0,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",1,0
"1827","5_5",2,"Bro_ere","ambient","mowing",4,12,0,1,NA,0,3,10,1,1,1,0,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1828","5_5",2,"Bro_ere","ambient","mowing",NA,1,NA,NA,NA,0,3,10,1,0,0,1,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1829","5_5",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1830","5_5",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1831","5_5",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1832","5_5",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1833","5_5",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1856","5_5",3,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_3","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1857","5_5",3,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_3","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1858","5_5",3,"Bro_ere","ambient","mowing",30,20,1,1,NA,0,2,0,1,1,1,0,2018,"5_5_3","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1859","5_5",3,"Bro_ere","ambient","mowing",16,39,8,8,NA,0,2,0,1,1,8,0,2018,"5_5_3","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1880","5_5",4,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_4","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1881","5_5",4,"Bro_ere","ambient","mowing",40,72,3,3,NA,0,0,4,1,1,3,0,2018,"5_5_4","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1882","5_5",4,"Bro_ere","ambient","mowing",30,12,2,2,NA,0,0,4,1,1,2,0,2018,"5_5_4","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1883","5_5",4,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_4","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1884","5_5",4,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_4","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1885","5_5",4,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_4","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1886","5_5",4,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_4","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1887","5_5",4,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_4","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1897","5_5",5,"Bro_ere","ambient","mowing",2,12,1,1,NA,0,0,0,1,1,1,0,2018,"5_5_5","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1898","5_5",5,"Bro_ere","ambient","mowing",2,NA,3,3,NA,0,0,0,1,0,3,0,2018,"5_5_5","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1899","5_5",5,"Bro_ere","ambient","mowing",1,NA,1,1,NA,0,0,0,1,0,1,0,2018,"5_5_5","ambient_mowing","Bro_ere_ambient_mowing",1,1
"1900","5_5",5,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_5","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1901","5_5",5,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_5","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1911","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1912","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1913","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1914","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1915","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1916","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1917","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1918","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1919","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1920","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1921","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1922","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"1923","5_5",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"5_5_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
